case,city,date,fatalities,injured,total_victims,location,age_of_shooter,prior_signs_mental_health_issues,weapons_obtained_legally,race,gender,latitude,longitude,type,year
Uvalde elementary school massacre,"Uvalde, Texas",2022-05-24,15,0,15,School,18.0,,,,Male,,,Mass,2022
Buffalo supermarket massacre,"Buffalo, New York",2022-05-14,10,3.0,13.0,Workplace,18.0,True,True,White,Male,,,Mass,2022
Sacramento County church shooting,"Sacramento, California",2022-02-28,4,0.0,4.0,Religious,,,,,Male,38.60111019,-121.4189659,Mass,2022
Oxford High School shooting,"Oxford, Michigan",2021-11-30,4,7.0,11.0,School,15.0,,,,Male,42.84410784,-83.25992831,Mass,2021
San Jose VTA shooting,"San Jose, California",2021-05-26,9,0.0,9.0,Workplace,57.0,True,,,Male,37.316097,-121.888533,Mass,2021
FedEx warehouse shooting,"Indianapolis, Indiana",2021-04-15,8,7.0,15.0,Workplace,19.0,True,True,White,Male,39.68663,-86.32313,Mass,2021
Orange office complex shooting,"Orange, California",2021-03-31,4,1.0,5.0,Workplace,,,,,Male,33.83542,-117.85379,Mass,2021
Boulder supermarket shooting,"Boulder, Colorado",2021-03-22,10,0.0,10.0,Workplace,21.0,True,True,,Male,39.986961,-105.251168,Mass,2021
Atlanta massage parlor shootings,"Atlanta, Georgia",2021-03-16,8,1.0,9.0,Workplace,21.0,,,White,Male,34.111653,-84.580376,Spree,2021
Springfield convenience store shooting,"Springfield, Missouri",2020-03-16,4,0.0,4.0,Workplace,31.0,,,,Male,37.210432,-93.23686,Mass,2020
Molson Coors shooting,"Milwaukee, Wisconsin",2020-02-26,5,0.0,5.0,Workplace,51.0,,,Black,Male,43.044511,-87.962537,Mass,2020
Jersey City kosher market shooting,"Jersey City, New Jersey",2019-12-10,4,3.0,7.0,Other,,,,Black,Male & Female,40.707363,-74.083609,Spree,2019
Pensacola Naval base shooting,"Pensacola, Florida",2019-12-06,3,8.0,11.0,Military,,,,,Male,30.364707,-87.288567,Mass,2019
Odessa-Midland shooting spree,"Odessa, Texas",2019-08-31,7,25.0,32.0,Other,36.0,True,,White,Male,31.925974,-102.2796,Spree,2019
Dayton entertainment district shooting,"Dayton, Ohio",2019-08-04,9,27.0,36.0,Other,24.0,,True,White,Male,39.757312,-84.184947,Mass,2019
El Paso Walmart mass shooting,"El Paso, Texas",2019-08-03,22,26.0,48.0,Workplace,21.0,,True,White,Male,31.771068,-106.375655,Mass,2019
Gilroy garlic festival shooting,"Gilroy, California",2019-07-28,3,12.0,15.0,Other,19.0,,True,,Male,36.997191,-121.584819,Mass,2019
Virginia Beach municipal building shooting,"Virginia Beach, Virginia",2019-05-31,12,4.0,16.0,Workplace,40.0,,True,Black,Male,36.75442,-76.060378,Mass,2019
